,date,Generator_speed,Rotor_speed,Gearbox_oil_tem,Generator_bearing_tem_drive,Generator_bearing_tem_nondrive,wind_speed,active_power
0,2018-01-01 00:00:00.000,1474.3887300000001,11.36562,55.9,27.1,36.4,5.71823,568.97775
1,2018-01-01 00:10:00.000,1463.9285300000001,11.16952,56.9,28.1,37.4,5.53394,541.82281
2,2018-01-01 00:20:00.000,1435.11427,11.02145,56.9,28.1,39.4,4.842169999999999,524.7945
3,2018-01-01 00:30:00.000,1595.27339,12.28207,55.9,28.1,39.4,7.0560300000000025,709.2448099999997
4,2018-01-01 00:40:00.000,1447.9306199999999,11.09949,55.9,27.1,37.4,6.1018300000000005,518.58819
5,2018-01-01 00:50:00.000,1659.37013,12.70628,55.9,26.1,36.4,6.912439999999999,794.04031
6,2018-01-01 01:00:00.000,1665.89843,12.67426,55.9,25.1,35.4,7.71098,789.4390599999997
7,2018-01-01 01:10:00.000,1749.15948,13.39262,56.9,25.1,36.4,8.235330000000001,1513.99175
8,2018-01-01 01:20:00.000,1748.85931,13.414629999999999,57.9,26.1,37.4,9.21765,1662.0985
9,2018-01-01 01:30:00.000,1748.2741399999998,13.41063,58.9,26.1,37.4,8.47617,1640.4845
10,2018-01-01 01:40:00.000,1751.71082,13.418629999999999,58.9,26.1,37.4,7.7865800000000025,1109.3635
11,2018-01-01 01:50:00.000,1723.25665,13.25255,58.9,26.1,37.4,8.3759,912.92212
13,2018-01-01 02:10:00.000,1715.5879,13.07846,57.9,25.1,36.4,6.29814,871.56944
15,2018-01-01 02:30:00.000,1742.85641,13.43464,57.9,25.1,35.4,8.36132,1054.62025
16,2018-01-01 02:40:00.000,1541.3818800000001,11.77582,57.9,24.1,34.4,6.1738599999999995,634.79238
17,2018-01-01 02:50:00.000,1688.60453,12.85035,57.9,24.1,34.4,7.5068600000000005,817.35656
18,2018-01-01 03:00:00.000,1694.5024600000006,13.004430000000001,57.9,24.1,35.4,7.55956,854.5023800000001
