Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power
1754.2319899999998,13.37661,67.5,48.6,83.8,9.08977,2056.85888
1721.2907699999994,13.26056,67.5,47.6,83.8,10.04619,2054.22938
1756.13795,13.42463,67.5,47.6,83.8,10.72647,2061.56912
1764.67718,13.45065,67.5,47.6,83.8,10.05276,1978.78288
1777.29832,13.65875,67.5,47.6,83.8,10.00417,2067.06788
1723.06174,13.26456,67.5,47.6,83.8,10.55145,2060.599
1740.00505,13.394620000000002,67.5,47.6,83.8,10.66087,2054.49525
1755.8229199999994,13.48867,67.5,47.6,83.8,10.39813,2058.22237
1753.9019399999993,13.36661,67.5,47.6,83.8,9.9096,2055.97838
1750.4352199999994,13.32459,67.5,47.6,83.8,10.41366,2058.40075
1755.9428899999998,13.49867,67.5,47.6,83.8,10.01704,2060.75587
1752.5661300000006,13.30658,67.5,46.6,83.8,10.88748,2059.50137
1769.2993600000002,13.49467,67.5,46.6,83.8,9.58002,2057.41437
1748.73933,13.48266,67.5,46.6,83.8,11.00781,2057.042
1762.44116,13.47466,67.5,46.6,83.8,10.52997,2058.44987
1729.55972,13.24255,67.5,46.6,83.8,10.44761,2062.01875
1730.1601899999994,13.27256,67.5,46.6,83.8,10.44957,2056.5875
1774.3269699999994,13.50067,67.5,46.6,83.8,9.05927,2059.55975
1766.49305,13.54069,67.5,46.6,83.8,10.75465,2058.27962
1751.90588,13.43864,67.5,46.6,83.8,10.25304,2057.22038
1760.76029,13.53669,67.5,46.6,83.8,10.88489,2057.31762
1756.21288,13.40863,67.5,46.6,82.8,9.03656,2047.471
1754.0819800000006,13.422629999999998,67.5,46.6,82.8,9.61449,1584.8605
1768.6090800000006,13.53669,67.5,46.6,82.8,10.04738,2046.48225
1745.73781,13.40262,67.5,46.6,82.8,9.7075,1990.0079999999998
1755.0575600000002,13.49467,67.5,46.6,82.8,9.71769,2030.91438
1756.8433899999998,13.37861,67.5,46.6,82.8,8.9194,1608.39862
1721.38072,13.29657,67.5,46.6,82.8,10.30146,2044.99988
1747.20861,13.44064,67.5,46.6,82.8,9.90775,1820.04075
1751.15539,13.394620000000002,67.5,46.6,81.8,8.12937,1458.0620000000001
1737.3786300000006,13.40262,67.5,46.6,81.8,8.73282,1581.225
1756.0029600000007,13.39262,67.5,46.6,81.8,9.04563,1832.17062
1761.93092,13.400620000000002,67.5,46.6,81.8,9.45959,1684.756
1755.73268,13.45665,67.5,46.6,80.8,9.66361,1885.10762
1760.9703600000007,13.384620000000002,67.5,46.6,80.8,9.88252,1872.9875
