,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category,distance
0,1754.2319899999998,13.37661,67.5,48.6,83.8,9.08977,2056.85888,8,1.630518814980658
5,1721.2907699999996,13.26056,67.5,47.6,83.8,10.04619,2054.22938,8,0.6452496212312785
10,1756.13795,13.42463,67.5,47.6,83.8,10.72647,2061.56912,2,1.3030274681283516
15,1764.67718,13.45065,67.5,47.6,83.8,10.05276,1978.78288,8,0.42547555147191196
20,1777.29832,13.65875,67.5,47.6,83.8,10.00417,2067.06788,8,0.6747754003332965
25,1723.06174,13.26456,67.5,47.6,83.8,10.55145,2060.599,8,1.5416585605824218
30,1740.00505,13.394620000000002,67.5,47.6,83.8,10.66087,2054.49525,8,1.7393699016811288
35,1755.8229199999996,13.48867,67.5,47.6,83.8,10.39813,2058.22237,8,1.245984941299913
40,1753.9019399999993,13.36661,67.5,47.6,83.8,9.9096,2055.97838,8,0.527909230129767
45,1750.4352199999996,13.32459,67.5,47.6,83.8,10.41366,2058.40075,8,1.2753495088696034
50,1755.9428899999998,13.49867,67.5,47.6,83.8,10.01704,2060.75587,8,0.6486543892801273
55,1752.5661300000004,13.30658,67.5,46.6,83.8,10.88748,2059.50137,2,1.0599826244272759
60,1769.2993600000002,13.49467,67.5,46.6,83.8,9.58002,2057.41437,8,0.7538971538285645
65,1748.73933,13.48266,67.5,46.6,83.8,11.00781,2057.042,2,0.8788223728129541
70,1762.44116,13.47466,67.5,46.6,83.8,10.52997,2058.44987,8,1.4950590445349288
75,1729.55972,13.24255,67.5,46.6,83.8,10.44761,2062.01875,8,1.3494204887204184
80,1730.1601899999996,13.27256,67.5,46.6,83.8,10.44957,2056.5875,8,1.3373396898395637
85,1774.3269699999996,13.50067,67.5,46.6,83.8,9.05927,2059.55975,8,1.6958782926690388
90,1766.49305,13.54069,67.5,46.6,83.8,10.75465,2058.27962,2,1.2564862067161313
95,1751.90588,13.43864,67.5,46.6,83.8,10.25304,2057.22038,8,0.9814958101240263
100,1743.0215899999996,13.3446,67.5,46.6,83.8,8.17944,2059.36,8,3.4489057371355454
105,1760.76029,13.53669,67.5,46.6,83.8,10.88489,2057.31762,2,1.0605090067379115
110,1756.21288,13.40863,67.5,46.6,82.8,9.03656,2047.471,8,1.7148414080820042
115,1754.0819800000004,13.422629999999998,67.5,46.6,82.8,9.61449,1584.8605,7,1.0076942987211688
120,1768.6090800000004,13.53669,67.5,46.6,82.8,10.04738,2046.48225,8,0.6043982953639483
125,1745.73781,13.40262,67.5,46.6,82.8,9.7075,1990.0079999999998,8,0.28502674689469115
130,1755.0575600000002,13.49467,67.5,46.6,82.8,9.71769,2030.91438,8,0.4211461641174721
135,1756.8433899999998,13.37861,67.5,46.6,82.8,8.9194,1608.39862,7,0.17159158191079202
140,1721.38072,13.29657,67.5,46.6,82.8,10.30146,2044.99988,8,1.0262473279363271
145,1747.20861,13.44064,67.5,46.6,82.8,9.90775,1820.04075,8,1.2106701949835774
150,1751.15539,13.394620000000002,67.5,46.6,81.8,8.12937,1458.0620000000001,1,1.2157241366259863
155,1737.3786300000004,13.40262,67.5,46.6,81.8,8.73282,1581.225,7,0.5137121252199335
160,1756.0029600000007,13.39262,67.5,46.6,81.8,9.04563,1832.17062,7,1.331944692875016
165,1761.93092,13.400620000000002,67.5,46.6,81.8,9.45959,1684.756,7,0.8630373948746857
170,1755.73268,13.45665,67.5,46.6,80.8,9.66361,1885.10762,8,0.8205639610306721
175,1760.9703600000007,13.384620000000002,67.5,46.6,80.8,9.88252,1872.9875,8,0.8224351008798244
180,1762.53111,13.43864,67.5,46.6,80.8,10.06585,2046.57238,8,0.6311755917851029
185,1763.8519,13.41463,67.5,46.6,80.8,9.1838,1628.4855,7,0.2955805011811148
