,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category
0,1754.2319899999998,13.37661,67.5,48.6,83.8,9.08977,2056.85888,8
5,1721.2907699999996,13.26056,67.5,47.6,83.8,10.04619,2054.22938,8
10,1756.13795,13.42463,67.5,47.6,83.8,10.72647,2061.56912,2
15,1764.67718,13.45065,67.5,47.6,83.8,10.05276,1978.78288,8
20,1777.29832,13.65875,67.5,47.6,83.8,10.00417,2067.06788,8
25,1723.06174,13.26456,67.5,47.6,83.8,10.55145,2060.599,2
30,1740.00505,13.394620000000002,67.5,47.6,83.8,10.66087,2054.49525,2
35,1755.8229199999996,13.48867,67.5,47.6,83.8,10.39813,2058.22237,2
40,1753.9019399999993,13.36661,67.5,47.6,83.8,9.9096,2055.97838,8
45,1750.4352199999996,13.32459,67.5,47.6,83.8,10.41366,2058.40075,2
50,1755.9428899999998,13.49867,67.5,47.6,83.8,10.01704,2060.75587,8
55,1752.5661300000004,13.30658,67.5,46.6,83.8,10.88748,2059.50137,2
60,1769.2993600000002,13.49467,67.5,46.6,83.8,9.58002,2057.41437,8
65,1748.73933,13.48266,67.5,46.6,83.8,11.00781,2057.042,2
70,1762.44116,13.47466,67.5,46.6,83.8,10.52997,2058.44987,2
75,1729.55972,13.24255,67.5,46.6,83.8,10.44761,2062.01875,2
80,1730.1601899999996,13.27256,67.5,46.6,83.8,10.44957,2056.5875,2
85,1774.3269699999996,13.50067,67.5,46.6,83.8,9.05927,2059.55975,8
90,1766.49305,13.54069,67.5,46.6,83.8,10.75465,2058.27962,2
95,1751.90588,13.43864,67.5,46.6,83.8,10.25304,2057.22038,2
100,1743.0215899999996,13.3446,67.5,46.6,83.8,8.17944,2059.36,8
105,1760.76029,13.53669,67.5,46.6,83.8,10.88489,2057.31762,2
110,1756.21288,13.40863,67.5,46.6,82.8,9.03656,2047.471,8
115,1754.0819800000004,13.422629999999998,67.5,46.6,82.8,9.61449,1584.8605,14
120,1768.6090800000004,13.53669,67.5,46.6,82.8,10.04738,2046.48225,8
125,1745.73781,13.40262,67.5,46.6,82.8,9.7075,1990.0079999999998,8
130,1755.0575600000002,13.49467,67.5,46.6,82.8,9.71769,2030.91438,8
135,1756.8433899999998,13.37861,67.5,46.6,82.8,8.9194,1608.39862,14
140,1721.38072,13.29657,67.5,46.6,82.8,10.30146,2044.99988,2
145,1747.20861,13.44064,67.5,46.6,82.8,9.90775,1820.04075,8
150,1751.15539,13.394620000000002,67.5,46.6,81.8,8.12937,1458.0620000000001,0
155,1737.3786300000004,13.40262,67.5,46.6,81.8,8.73282,1581.225,14
160,1756.0029600000007,13.39262,67.5,46.6,81.8,9.04563,1832.17062,14
165,1761.93092,13.400620000000002,67.5,46.6,81.8,9.45959,1684.756,14
170,1755.73268,13.45665,67.5,46.6,80.8,9.66361,1885.10762,8
175,1760.9703600000007,13.384620000000002,67.5,46.6,80.8,9.88252,1872.9875,8
180,1762.53111,13.43864,67.5,46.6,80.8,10.06585,2046.57238,8
185,1763.8519,13.41463,67.5,46.6,80.8,9.1838,1628.4855,14
190,1759.6797399999996,13.47466,67.5,46.6,80.8,8.54958,1750.01975,14
195,1760.0399699999996,13.422629999999998,67.5,46.6,79.8,9.24554,1850.09238,8
200,1765.66762,13.44464,67.5,45.6,79.8,8.80428,1767.56425,14
205,1763.1014100000002,13.41063,67.5,45.6,79.8,9.78772,1947.9995,8
210,1737.6789399999998,13.36461,67.5,45.6,79.8,9.08759,1937.50762,8
215,1760.9553399999998,13.496670000000002,67.5,45.6,79.8,10.14919,2060.95512,8
220,1757.38367,13.52268,67.5,45.6,79.8,10.21185,2061.61075,8
225,1736.7033600000002,13.32258,67.5,45.6,79.8,9.48039,2054.5933800000007,8
230,1750.5552,13.43264,67.5,45.6,79.8,9.87106,2041.38925,8
235,1750.0449600000004,13.40262,67.5,45.6,79.8,10.11286,1867.12188,8
240,1754.5772,13.42063,67.5,45.6,79.8,9.8617,1620.39412,14
245,1741.16052,13.43064,67.5,45.6,79.8,7.65773,971.80044,4
250,1560.89155,11.88387,66.5,45.6,79.8,6.33545,647.48175,10
255,1718.7844699999996,13.19052,65.5,45.6,78.8,7.616110000000001,898.97625,4
260,1427.07027,10.9294,65.5,45.6,77.8,6.55117,494.29897,10
265,1298.57677,9.95492,63.5,45.6,75.8,6.01262,383.86259,13
270,1338.82666,10.16903,63.5,45.6,73.8,6.48942,411.33575,10
275,1334.68468,10.14701,62.5,44.6,71.8,4.93759,411.76081,9
280,1435.99976,11.06347,62.5,44.6,69.8,6.002669999999998,523.8498099999998,13
285,1673.0119,12.78432,62.5,43.6,67.8,7.61356,816.85994,4
290,1687.43404,12.90038,62.5,43.6,66.8,7.27337,831.52856,4
295,1594.52319,12.28207,62.5,43.6,64.8,5.8868,714.82825,1
300,1498.92586,11.51969,62.5,42.6,63.8,6.938510000000001,591.75306,10
305,1552.26223,11.9319,61.5,42.6,62.8,6.7283300000000015,660.99231,10
310,1636.34885,12.53219,61.5,42.6,60.8,7.7007,764.462,4
315,1562.84241,11.90789,61.5,41.6,59.8,7.4256199999999986,654.3480000000001,4
320,1595.3785,12.21604,61.5,41.6,58.8,6.47694,709.3335599999998,1
325,1509.07074,11.48368,61.5,41.6,57.8,5.45204,593.86775,13
330,1468.76093,11.31959,60.5,40.6,56.8,6.798839999999998,565.34038,10
335,1588.18995,12.09798,60.5,40.6,55.8,6.56743,685.32175,10
340,1737.70897,13.29257,60.5,40.6,55.8,7.15936,914.51406,4
345,1750.40519,13.40462,60.5,39.6,54.8,8.40245,1143.92062,6
350,1745.7227899999998,13.41663,60.5,39.6,54.8,8.58752,1289.62175,0
355,1763.73163,13.412629999999998,61.5,39.6,53.8,8.105360000000001,995.191,6
360,1572.38725,12.09998,61.5,39.6,53.8,6.942310000000001,689.54925,10
365,1525.98431,11.60173,61.5,39.6,52.8,5.9044300000000005,607.40075,13
370,1595.06332,12.19603,61.5,39.6,52.8,6.42366,704.80481,1
375,1689.2949600000004,12.9504,60.5,38.6,52.8,5.79905,851.21069,1
380,1727.9841,13.32258,60.5,38.6,51.8,8.32722,906.10212,4
385,1759.45466,13.47866,60.5,38.6,51.8,7.586880000000002,1154.21475,6
390,1738.69942,13.38862,60.5,38.6,51.8,8.24259,1107.8635,6
395,1754.35211,13.412629999999998,61.5,38.6,51.8,9.13284,1380.54075,0
400,1741.8808399999998,13.41663,61.5,38.6,50.8,8.94278,1456.80162,0
405,1760.37017,13.422629999999998,61.5,38.6,50.8,7.3745699999999985,1137.7845,6
410,1754.95245,13.45865,61.5,38.6,50.8,7.14111,1020.10612,4
415,1741.49087,13.42664,61.5,38.6,50.8,7.451010000000001,1131.21675,6
420,1622.9622,12.50218,61.5,38.6,50.8,6.5166,770.297,1
425,1759.93486,13.40262,61.5,38.6,50.8,6.747089999999999,955.07394,1
430,1757.5186600000004,13.38262,61.5,38.6,50.8,7.4611100000000015,1155.02025,6
435,1763.94185,13.43264,61.5,37.6,50.8,7.8003300000000015,1065.65475,6
440,1749.9700300000004,13.39262,61.5,37.6,50.8,7.33058,950.09694,4
445,1761.2104600000002,13.394620000000002,61.5,37.6,50.8,7.293539999999999,974.36075,4
450,1695.59802,12.97842,61.5,37.6,49.8,7.267239999999998,846.46694,4
455,1670.55079,12.78232,61.5,37.6,49.8,6.66852,815.7655599999998,1
460,1756.0479999999998,13.36661,61.5,37.6,49.8,6.95955,925.37194,1
465,1744.53714,13.44464,61.5,37.6,49.8,7.536589999999999,982.37119,4
470,1759.64971,13.394620000000002,61.5,37.6,49.8,8.42183,1202.91275,6
475,1751.29053,13.42063,61.5,37.6,49.8,8.3958,1326.22,0
480,1741.07058,13.44464,61.5,37.6,49.8,7.689139999999999,1224.90563,6
485,1759.55962,13.46065,61.5,37.6,49.8,8.00271,1099.93212,6
490,1752.9563899999996,13.412629999999998,61.5,37.6,49.8,8.22212,1163.88663,6
495,1749.8048600000004,13.38262,61.5,37.6,49.8,6.95935,937.72281,1
500,1755.7777199999996,13.44665,61.5,37.6,49.8,9.37019,1338.24975,0
505,1717.94404,13.1485,61.5,37.6,49.8,7.30038,887.61125,4
510,1716.44335,13.11648,61.5,37.6,49.8,6.11411,876.31438,1
515,1619.5253699999996,12.50018,61.5,36.6,49.8,6.00811,763.63181,1
520,1508.78573,11.57172,61.5,36.6,49.8,6.13163,602.62094,10
525,1453.75347,11.17752,60.5,36.6,49.8,4.6376800000000005,544.12212,9
530,1447.52549,11.10549,60.5,36.6,48.8,5.04087,529.5285,13
535,1497.69531,11.38363,60.5,36.6,48.8,5.5268,578.26738,13
540,1600.34605,12.20403,60.5,36.6,48.8,5.8158,712.8939999999999,1
545,1667.0539,12.84835,60.5,36.6,47.8,7.60085,823.22,4
550,1595.18344,12.17402,60.5,35.6,47.8,6.02538,704.4288799999998,1
555,1484.02351,11.42365,59.5,35.6,47.8,6.122719999999998,578.68525,10
560,1473.38327,11.29158,59.5,35.6,47.8,6.73665,562.029,10
565,1468.38569,11.25356,59.5,35.6,47.8,6.77871,553.86838,10
570,1270.18281,9.73681,58.5,35.6,46.8,4.34725,361.89278,9
575,1197.5018699999996,9.15252,58.5,35.6,46.8,4.81752,299.59212,9
580,1232.27405,9.47868,57.5,35.6,45.8,4.4150800000000014,332.9624100000001,9
585,1258.9122,9.66878,57.5,34.6,45.8,4.8685800000000015,351.15156,9
590,1271.78861,9.66077,57.5,34.6,44.8,5.66498,347.47803,13
595,1420.03188,10.88738,56.5,34.6,44.8,5.3198,500.23031,13
600,1529.90105,11.62375,56.5,34.6,44.8,7.04626,610.72406,10
605,1493.49312,11.47367,56.5,34.6,44.8,5.93323,587.3458099999998,13
610,1510.06148,11.56972,56.5,34.6,43.8,6.1569,604.3508099999998,10
615,1554.22811,11.91189,56.5,33.6,43.8,6.67117,659.13256,10
620,1638.99014,12.61424,56.5,33.6,43.8,6.40966,777.24131,1
625,1581.93179,12.05596,57.5,33.6,43.8,5.822780000000002,687.22631,1
630,1579.8459300000004,12.09798,57.5,33.6,43.8,6.5705300000000015,694.2835,10
635,1696.4684899999993,12.99242,57.5,33.6,43.8,6.853339999999998,850.14925,1
640,1679.66017,12.79833,57.5,33.6,43.8,6.747910000000001,806.28125,1
645,1449.58146,11.10149,57.5,33.6,43.8,5.12211,535.09406,13
650,1266.23589,9.7148,57.5,33.6,43.8,5.04694,354.3675,9
655,1297.61636,9.95892,57.5,33.6,43.8,5.37859,385.15641,13
660,1314.10949,10.08098,57.5,33.6,43.8,5.3678,394.72966,13
665,1323.56408,10.13101,56.5,33.6,43.8,4.2885300000000015,408.58184,9
670,1346.55563,10.24306,56.5,33.6,42.8,5.62105,422.39634,13
675,1446.29479,11.15551,56.5,33.6,42.8,6.17181,537.57925,13
680,1537.23976,11.71779,56.5,33.6,42.8,5.7783,632.05519,13
685,1627.05913,12.43615,56.5,33.6,42.8,6.10981,752.502,1
690,1457.91047,11.17352,56.5,33.6,42.8,6.15525,545.16206,13
695,1265.17022,9.73881,56.5,33.6,42.8,4.75568,358.59775,9
700,1356.25032,10.3111,56.5,33.6,42.8,5.85305,425.35019000000005,13
705,1523.5379300000004,11.67977,56.5,33.6,42.8,7.08628,616.98988,10
710,1456.0195199999996,11.05947,56.5,33.6,42.8,5.62167,527.0015,13
715,1466.40479,11.26357,56.5,33.6,42.8,6.81894,556.7681299999998,10
720,1709.11966,13.10248,56.5,33.6,42.8,7.07468,884.5563800000001,4
725,1550.47625,11.88988,56.5,33.6,42.8,5.76654,654.60938,13
730,1546.12405,11.84385,56.5,33.6,42.8,6.0397300000000005,646.44188,10
735,1624.70314,12.44215,56.5,33.6,42.8,6.89467,746.16162,1
740,1477.22522,11.25156,56.5,33.6,42.8,5.6095,552.9340599999998,13
745,1261.85366,9.68279,56.5,33.6,42.8,4.50894,354.02281,9
750,1361.50288,10.49319,56.5,33.6,42.8,5.66834,443.01034,13
755,1614.54296,12.3501,56.5,33.6,42.8,7.09163,720.63306,10
760,1614.13783,12.27607,56.5,33.6,42.8,7.01484,718.1593799999998,10
765,1748.19906,13.40262,57.5,33.6,42.8,8.02135,1087.05788,6
770,1746.14294,13.37061,57.5,33.6,42.8,8.00357,935.75244,4
775,1676.14841,12.90238,58.5,33.6,42.8,6.846,823.5276200000002,1
780,1712.6464399999998,13.19652,58.5,33.6,42.8,8.005419999999999,886.23881,4
785,1617.75455,12.37812,58.5,33.6,42.8,5.16119,740.79269,13
790,1561.08661,12.00393,58.5,33.6,42.8,6.2212,675.54794,1
795,1620.7861,12.47817,58.5,33.6,42.8,6.7509,739.03444,1
800,1737.6789399999998,13.31458,58.5,33.6,42.8,6.56165,927.05969,1
805,1752.05589,13.422629999999998,58.5,33.6,42.8,8.32431,1110.00625,6
810,1757.6836899999996,13.38662,59.5,33.6,43.8,9.19778,1772.49475,14
815,1751.75587,13.39862,60.5,33.6,43.8,8.29626,1361.227,0
820,1739.26958,13.38061,60.5,33.6,43.8,8.42715,1347.71425,0
825,1747.08863,13.40462,60.5,33.6,44.8,8.04815,1770.49025,14
830,1744.4922399999996,13.37461,61.5,33.6,44.8,9.3722,1518.11275,14
835,1760.73025,13.45865,61.5,33.6,45.8,8.22625,1459.10362,0
840,1748.42415,13.36661,61.5,34.6,45.8,7.6637,1573.27238,0
845,1744.58234,13.40262,62.5,34.6,46.8,8.44662,1847.42512,14
850,1738.27913,13.40462,62.5,34.6,46.8,9.62049,1869.47575,8
855,1765.65261,13.44665,62.5,34.6,47.8,10.02428,2027.30338,8
860,1763.8968,13.44064,63.5,34.6,48.8,7.41631,1485.55425,6
865,1748.39412,13.43064,63.5,35.6,48.8,9.83851,1635.94675,14
870,1750.78029,13.46265,63.5,35.6,48.8,9.68363,1868.95662,8
875,1752.83641,13.41063,63.5,35.6,49.8,7.59612,1170.17288,6
880,1772.22595,13.48867,63.5,35.6,49.8,9.64365,1861.47338,8
885,1764.4520899999998,13.514679999999998,63.5,35.6,49.8,9.6665,1385.5279999999998,0
890,1742.0309899999993,13.3566,63.5,36.6,50.8,9.51317,1889.38575,8
895,1741.65575,13.36661,63.5,36.6,50.8,7.607410000000002,1663.566,0
900,1757.56371,13.42864,63.5,36.6,50.8,9.90262,1505.91925,14
905,1738.51923,13.37661,63.5,36.6,50.8,8.017539999999999,1025.2808699999996,6
910,1752.40125,13.41663,63.5,36.6,50.8,7.54091,1252.64325,6
915,1735.15748,13.3566,63.5,36.6,51.8,6.21534,1075.68575,1
920,1740.3501199999996,13.39862,63.5,36.6,51.8,8.54149,1294.44838,0
925,1757.39854,13.44665,63.5,36.6,51.8,6.27461,1112.25837,1
