,date,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category,distance
0,2018-07-01 00:00:00.000,1754.2319899999998,13.37661,67.5,48.6,83.8,9.08977,2056.85888,7,1.5007940417230317
5,2018-07-01 00:06:00.000,1721.2907699999996,13.26056,67.5,47.6,83.8,10.04619,2054.22938,7,1.0610021992123562
10,2018-07-01 00:11:00.000,1756.13795,13.42463,67.5,47.6,83.8,10.72647,2061.56912,3,0.4753950017473371
15,2018-07-01 00:16:00.000,1764.67718,13.45065,67.5,47.6,83.8,10.05276,1978.78288,7,0.9086980892504453
20,2018-07-01 00:21:00.000,1777.29832,13.65875,67.5,47.6,83.8,10.00417,2067.06788,7,1.046201805834575
25,2018-07-01 00:26:00.000,1723.06174,13.26456,67.5,47.6,83.8,10.55145,2060.599,3,0.7924983443734431
30,2018-07-01 00:31:00.000,1740.00505,13.394620000000002,67.5,47.6,83.8,10.66087,2054.49525,3,0.5315829507030463
35,2018-07-01 00:36:00.000,1755.8229199999996,13.48867,67.5,47.6,83.8,10.39813,2058.22237,3,1.1407440486518523
40,2018-07-01 00:41:00.000,1753.9019399999993,13.36661,67.5,47.6,83.8,9.9096,2055.97838,7,0.8189315550752221
45,2018-07-01 00:46:00.000,1750.4352199999996,13.32459,67.5,47.6,83.8,10.41366,2058.40075,3,1.1038630898325164
50,2018-07-01 00:51:00.000,1755.9428899999998,13.49867,67.5,47.6,83.8,10.01704,2060.75587,7,1.0362237227240885
55,2018-07-01 00:56:00.000,1752.5661300000004,13.30658,67.5,46.6,83.8,10.88748,2059.50137,3,0.43673234713246156
60,2018-07-01 01:01:00.000,1769.2993600000002,13.49467,67.5,46.6,83.8,9.58002,2057.41437,7,0.6396620345399425
65,2018-07-01 01:06:00.000,1748.73933,13.48266,67.5,46.6,83.8,11.00781,2057.042,3,0.6178078944384291
70,2018-07-01 01:11:00.000,1762.44116,13.47466,67.5,46.6,83.8,10.52997,2058.44987,3,0.8309823850736601
75,2018-07-01 01:16:00.000,1729.55972,13.24255,67.5,46.6,83.8,10.44761,2062.01875,3,1.0356224138203762
80,2018-07-01 01:21:00.000,1730.1601899999996,13.27256,67.5,46.6,83.8,10.44957,2056.5875,3,1.0118449201658772
85,2018-07-01 01:26:00.000,1774.3269699999996,13.50067,67.5,46.6,83.8,9.05927,2059.55975,7,1.5762146732339044
90,2018-07-01 01:31:00.000,1766.49305,13.54069,67.5,46.6,83.8,10.75465,2058.27962,3,0.416854788326822
95,2018-07-01 01:36:00.000,1751.90588,13.43864,67.5,46.6,83.8,10.25304,2057.22038,3,1.4943585033730262
100,2018-07-01 01:41:00.000,1743.0215899999996,13.3446,67.5,46.6,83.8,8.17944,2059.36,7,3.588610970711845
105,2018-07-01 01:46:00.000,1760.76029,13.53669,67.5,46.6,83.8,10.88489,2057.31762,3,0.41584036295411264
110,2018-07-01 01:51:00.000,1756.21288,13.40863,67.5,46.6,82.8,9.03656,2047.471,7,1.5897049833494998
115,2018-07-01 01:56:00.000,1754.0819800000004,13.422629999999998,67.5,46.6,82.8,9.61449,1584.8605,1,1.106580902199636
120,2018-07-01 02:01:00.000,1768.6090800000004,13.53669,67.5,46.6,82.8,10.04738,2046.48225,7,1.0294529227804665
125,2018-07-01 02:06:00.000,1745.73781,13.40262,67.5,46.6,82.8,9.7075,1990.0079999999998,7,0.09452297508021314
130,2018-07-01 02:11:00.000,1755.0575600000002,13.49467,67.5,46.6,82.8,9.71769,2030.91438,7,0.39551549900561933
135,2018-07-01 02:16:00.000,1756.8433899999998,13.37861,67.5,46.6,82.8,8.9194,1608.39862,1,0.5247046768713018
140,2018-07-01 02:21:00.000,1721.38072,13.29657,67.5,46.6,82.8,10.30146,2044.99988,3,1.348149794512414
145,2018-07-01 02:26:00.000,1747.20861,13.44064,67.5,46.6,82.8,9.90775,1820.04075,7,1.508262697934438
150,2018-07-01 02:31:00.000,1751.15539,13.394620000000002,67.5,46.6,81.8,8.12937,1458.0620000000001,8,1.2443711538395668
155,2018-07-01 02:36:00.000,1737.3786300000004,13.40262,67.5,46.6,81.8,8.73282,1581.225,1,0.9077341282879462
160,2018-07-01 02:41:00.000,1756.0029600000007,13.39262,67.5,46.6,81.8,9.04563,1832.17062,1,1.1222761303197162
165,2018-07-01 02:46:00.000,1761.93092,13.400620000000002,67.5,46.6,81.8,9.45959,1684.756,1,0.6805636888781313
170,2018-07-01 02:51:00.000,1755.73268,13.45665,67.5,46.6,80.8,9.66361,1885.10762,7,0.8506588573891757
