date,Generator_speed,Rotor_speed,Gearbox_oil_tem,Generator_bearing_tem_drive,Generator_bearing_tem_nondrive,wind_speed,active_power
2018-01-01 00:00:00.000,1474.38873,11.36562,55.9,27.1,36.4,5.71823,568.97775
2018-01-01 00:10:00.000,1463.92853,11.16952,56.9,28.1,37.4,5.53394,541.82281
2018-01-01 00:20:00.000,1435.11427,11.02145,56.9,28.1,39.4,4.8421699999999985,524.7945
2018-01-01 00:30:00.000,1595.27339,12.28207,55.9,28.1,39.4,7.056030000000002,709.2448099999998
2018-01-01 00:40:00.000,1447.93062,11.09949,55.9,27.1,37.4,6.1018300000000005,518.58819
2018-01-01 00:50:00.000,1659.37013,12.70628,55.9,26.1,36.4,6.912439999999999,794.04031
2018-01-01 01:00:00.000,1665.89843,12.67426,55.9,25.1,35.4,7.71098,789.4390599999998
2018-01-01 01:10:00.000,1749.15948,13.39262,56.9,25.1,36.4,8.235330000000001,1513.99175
2018-01-01 01:20:00.000,1748.85931,13.41463,57.9,26.1,37.4,9.21765,1662.0985
2018-01-01 01:30:00.000,1748.2741399999998,13.41063,58.9,26.1,37.4,8.47617,1640.4845
2018-01-01 01:40:00.000,1751.71082,13.41863,58.9,26.1,37.4,7.786580000000002,1109.3635
2018-01-01 01:50:00.000,1723.25665,13.25255,58.9,26.1,37.4,8.3759,912.92212
2018-01-01 02:00:00.000,1546.85952,11.87387,58.9,26.1,37.4,4.6803300000000005,657.38894
2018-01-01 02:10:00.000,1715.5879,13.07846,57.9,25.1,36.4,6.29814,871.56944
2018-01-01 02:20:00.000,1771.59573,13.46866,57.9,25.1,36.4,8.70271,969.92538
2018-01-01 02:30:00.000,1742.85641,13.43464,57.9,25.1,35.4,8.36132,1054.62025
2018-01-01 02:40:00.000,1541.38188,11.77582,57.9,24.1,34.4,6.17386,634.79238
2018-01-01 02:50:00.000,1688.60453,12.85035,57.9,24.1,34.4,7.50686,817.35656
2018-01-01 03:00:00.000,1694.5024600000004,13.00443,57.9,24.1,35.4,7.55956,854.5023800000001
2018-01-01 03:10:00.000,1724.5324,13.20653,57.9,26.1,36.4,6.98687,902.66031
2018-01-01 03:20:00.000,1746.32313,13.39662,57.9,27.1,37.4,7.97242,937.72775
2018-01-01 03:30:00.000,1698.58467,13.07046,57.9,28.1,37.4,7.2701,867.4771900000002
2018-01-01 03:40:00.000,1747.4337,13.39262,57.9,28.1,36.4,8.62704,1133.2169999999999
2018-01-01 03:50:00.000,1281.72356,9.89889,57.9,27.1,36.4,6.47802,378.26253
2018-01-01 04:00:00.000,1189.69805,9.07248,55.9,26.1,34.4,6.20222,283.64344
2018-01-01 04:10:00.000,1633.73744,12.5502,55.9,26.1,34.4,7.19383,764.3095599999998
2018-01-01 04:20:00.000,1585.83381,12.19203,55.9,26.1,35.4,7.06072,709.36731
2018-01-01 04:30:00.000,1485.91446,11.37963,55.9,28.1,36.4,6.37017,578.80794
2018-01-01 04:40:00.000,1598.69506,12.24205,55.9,29.1,37.4,6.815930000000002,717.8326900000002
2018-01-01 04:50:00.000,1706.43332,13.08847,55.9,29.1,37.4,7.675039999999999,875.8823800000001
2018-01-01 05:00:00.000,1718.7844699999996,13.18452,55.9,28.1,36.4,7.1444600000000005,891.62475
2018-01-01 05:10:00.000,1639.95056,12.47617,55.9,27.1,35.4,7.06498,758.86869
2018-01-01 05:20:00.000,1475.67934,11.31159,55.9,26.1,34.4,6.01697,563.39912
2018-01-01 05:30:00.000,1330.28744,10.18503,54.9,25.1,34.4,6.2805300000000015,412.64631
2018-01-01 05:40:00.000,1115.33624,8.52822,53.9,25.1,34.4,3.71381,240.64572
2018-01-01 05:50:00.000,1640.74595,12.58622,53.9,25.1,34.4,6.0138099999999985,776.54306
2018-01-01 06:00:00.000,1532.06228,11.77182,53.9,27.1,35.4,5.6521,634.0375
2018-01-01 06:10:00.000,1554.60336,11.84986,53.9,28.1,37.4,7.0407600000000015,647.28094
2018-01-01 06:20:00.000,1093.4705,8.42416,53.9,28.1,37.4,3.73176,205.76831
2018-01-01 06:30:00.000,1182.8096,9.12251,51.9,27.1,36.4,3.25231,296.8352799999999
2018-01-01 06:40:00.000,1164.36545,9.00245,51.9,26.1,35.4,3.45232,282.5175
2018-01-01 06:50:00.000,1357.76603,10.32911,50.9,26.1,35.4,6.64995,424.15991
2018-01-01 07:00:00.000,1471.32715,11.34161,50.9,26.1,35.4,5.54411,565.15175
2018-01-01 07:10:00.000,1258.07176,9.64477,51.9,27.1,36.4,4.74601,350.9915
